id,idv,slug,version,required_game,required_game_version,required_modloader,required_modloader_version,required_runtime,required_runtime_version,url_modpack,url_modpack_version,
6,48,ftb-omnia,1.2.0,minecraft,1.15.2,forge,31.1.45,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/48,
6,50,ftb-omnia,1.3.0,minecraft,1.15.2,forge,31.1.77,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/50,
6,51,ftb-omnia,1.4.0,minecraft,1.15.2,forge,31.1.87,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/51,
6,71,ftb-omnia,1.5.0,minecraft,1.15.2,forge,31.2.9,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/71,
6,88,ftb-omnia,1.6.0,minecraft,1.15.2,forge,31.2.31,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/88,
6,90,ftb-omnia,1.6.1,minecraft,1.15.2,forge,31.2.31,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/90,
6,91,ftb-omnia,1.7.0,minecraft,1.15.2,forge,31.2.33,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6,https://api.feed-the-beast.com/v1/modpacks/public/modpack/6/91,
7,7,ftb-unstable-114,1.11.0,minecraft,1.14.4,forge,28.1.61,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/7/7,
8,112,ftb-sky-odyssey,1.2.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8/112,
8,142,ftb-sky-odyssey,1.3.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8/142,
8,2244,ftb-sky-odyssey,1.4.0,minecraft,1.12.2,forge,14.23.5.2857,java,8.0.302+8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8/2244,
8,2248,ftb-sky-odyssey,1.4.1,minecraft,1.12.2,forge,14.23.5.2857,java,8.0.302+8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8/2248,
8,2301,ftb-sky-odyssey,1.4.2,minecraft,1.12.2,forge,14.23.5.2857,java,8.0.302+8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8/2301,
8,12265,ftb-sky-odyssey,1.5.0,minecraft,1.12.2,forge,14.23.5.2857,java,8.0.302+8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8/12265,
8,12268,ftb-sky-odyssey,1.5.1,minecraft,1.12.2,forge,14.23.5.2857,java,8.0.302+8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8,https://api.feed-the-beast.com/v1/modpacks/public/modpack/8/12268,
9,9,ftb-presents-hermitpack,1.7.0,minecraft,1.10.2,forge,12.18.3.2254,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/9,https://api.feed-the-beast.com/v1/modpacks/public/modpack/9/9,
10,110,pax-prime-2015-map,1.0.5,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/10,https://api.feed-the-beast.com/v1/modpacks/public/modpack/10/110,
11,11,ftb-lite-3,1.5.0,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/11,https://api.feed-the-beast.com/v1/modpacks/public/modpack/11/11,
11,12170,ftb-lite-3,1.5.1,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/11,https://api.feed-the-beast.com/v1/modpacks/public/modpack/11/12170,
12,119,ftb-resurrection,1.0.1,minecraft,1.7.10,forge,10.13.2.1291,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/12,https://api.feed-the-beast.com/v1/modpacks/public/modpack/12/119,
13,107,ftb-trident,1.4.0,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/13,https://api.feed-the-beast.com/v1/modpacks/public/modpack/13/107,
14,104,ftb-presents-direwolf20,1.10.0,minecraft,1.7.10,forge,10.13.4.1558,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/14,https://api.feed-the-beast.com/v1/modpacks/public/modpack/14/104,
15,108,ftb-presents-cloud-9,1.3.0,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/15,https://api.feed-the-beast.com/v1/modpacks/public/modpack/15/108,
16,105,ftb-departed,1.4.0,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/16,https://api.feed-the-beast.com/v1/modpacks/public/modpack/16/105,
17,109,ftb-horizons-daybreaker,1.2.0,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/17,https://api.feed-the-beast.com/v1/modpacks/public/modpack/17/109,
18,117,ftb-vanilla,1.1.0,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/18,https://api.feed-the-beast.com/v1/modpacks/public/modpack/18/117,
18,12169,ftb-vanilla,1.1.1,minecraft,1.7.10,forge,10.13.4.1448,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/18,https://api.feed-the-beast.com/v1/modpacks/public/modpack/18/12169,
19,67,ftb-presents-skyfactory-25,2.5.7,minecraft,1.7.10,forge,10.13.4.1614,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/19,https://api.feed-the-beast.com/v1/modpacks/public/modpack/19/67,
19,97,ftb-presents-skyfactory-25,2.5.8,minecraft,1.7.10,forge,10.13.4.1614,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/19,https://api.feed-the-beast.com/v1/modpacks/public/modpack/19/97,
20,102,ftb-infinity-evolved-skyblock,2.0.1,minecraft,1.7.10,forge,10.13.4.1614,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/20,https://api.feed-the-beast.com/v1/modpacks/public/modpack/20/102,
21,114,ftb-inventions,1.0.2,minecraft,1.7.10,forge,10.13.4.1614,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/21,https://api.feed-the-beast.com/v1/modpacks/public/modpack/21/114,
22,100,ftb-presents-crackpack,1.1.0,minecraft,1.7.10,forge,10.13.4.1614,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/22,https://api.feed-the-beast.com/v1/modpacks/public/modpack/22/100,
23,99,ftb-infinity-evolved-17,3.1.0,minecraft,1.7.10,forge,10.13.4.1614,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/23,https://api.feed-the-beast.com/v1/modpacks/public/modpack/23/99,
24,24,ftb-presents-direwolf20-110,1.12.1,minecraft,1.10.2,forge,12.18.3.2316,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/24,https://api.feed-the-beast.com/v1/modpacks/public/modpack/24/24,
24,25,ftb-presents-direwolf20-110,1.13.0,minecraft,1.10.2,forge,12.18.3.2316,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/24,https://api.feed-the-beast.com/v1/modpacks/public/modpack/24/25,
25,59,ftb-presents-skyfactory-3,3.0.16,minecraft,1.10.2,forge,12.18.3.2477,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25/59,
25,73,ftb-presents-skyfactory-3,3.0.17,minecraft,1.10.2,forge,12.18.3.2477,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25/73,
25,83,ftb-presents-skyfactory-3,3.0.18,minecraft,1.10.2,forge,12.18.3.2477,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25/83,
25,98,ftb-presents-skyfactory-3,3.0.19,minecraft,1.10.2,forge,12.18.3.2511,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25/98,
25,122,ftb-presents-skyfactory-3,3.0.20,minecraft,1.10.2,forge,12.18.3.2511,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25/122,
25,123,ftb-presents-skyfactory-3,3.0.21,minecraft,1.10.2,forge,12.18.3.2511,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25,https://api.feed-the-beast.com/v1/modpacks/public/modpack/25/123,
26,27,ftb-skyfactory-challenges,1.1.0,minecraft,1.10.2,forge,12.18.3.2254,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/26,https://api.feed-the-beast.com/v1/modpacks/public/modpack/26/27,
26,118,ftb-skyfactory-challenges,1.1.1,minecraft,1.10.2,forge,12.18.3.2254,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/26,https://api.feed-the-beast.com/v1/modpacks/public/modpack/26/118,
27,28,ftb-egg-hunt,1.1.0,minecraft,1.12.2,forge,14.23.4.2705,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/27,https://api.feed-the-beast.com/v1/modpacks/public/modpack/27/28,
28,115,ftb-beyond,1.11.0,minecraft,1.10.2,forge,12.18.3.2422,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/28,https://api.feed-the-beast.com/v1/modpacks/public/modpack/28/115,
29,113,ftb-horizons-iii,1.8.1,minecraft,1.12.2,forge,14.23.4.2705,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/29,https://api.feed-the-beast.com/v1/modpacks/public/modpack/29/113,
29,151,ftb-horizons-iii,1.9.0,minecraft,1.12.2,forge,14.23.4.2705,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/29,https://api.feed-the-beast.com/v1/modpacks/public/modpack/29/151,
29,2058,ftb-horizons-iii,1.10.0,minecraft,1.12.2,forge,14.23.5.2855,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/29,https://api.feed-the-beast.com/v1/modpacks/public/modpack/29/2058,
30,31,ftb-unstable-112,2.0.4,minecraft,1.12.1,forge,14.22.1.2478,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/30,https://api.feed-the-beast.com/v1/modpacks/public/modpack/30/31,
31,32,ftb-presents-direwolf20-112,2.5.0,minecraft,1.12.2,forge,14.23.5.2821,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31/32,
31,47,ftb-presents-direwolf20-112,2.6.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31/47,
31,65,ftb-presents-direwolf20-112,2.7.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31/65,
31,144,ftb-presents-direwolf20-112,2.8.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31/144,
31,2051,ftb-presents-direwolf20-112,2.9.0,minecraft,1.12.2,forge,14.23.5.2855,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31,https://api.feed-the-beast.com/v1/modpacks/public/modpack/31/2051,
32,33,ftb-pyramid-reborn-30,3.0.0,minecraft,1.12.2,forge,14.23.4.2760,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32/33,
32,34,ftb-pyramid-reborn-30,3.1.0,minecraft,1.12.2,forge,14.23.5.2768,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32/34,
32,57,ftb-pyramid-reborn-30,3.0.1,minecraft,1.12.2,forge,14.23.4.2760,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32/57,
32,62,ftb-pyramid-reborn-30,3.1.1,minecraft,1.12.2,forge,14.23.5.2768,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32/62,
32,64,ftb-pyramid-reborn-30,3.1.2,minecraft,1.12.2,forge,14.23.5.2768,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32/64,
32,150,ftb-pyramid-reborn-30,3.2.0,minecraft,1.12.2,forge,14.23.5.2768,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32,https://api.feed-the-beast.com/v1/modpacks/public/modpack/32/150,
33,35,ftb-sky-adventures,1.4.0,minecraft,1.12.2,forge,14.23.5.2796,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/33,https://api.feed-the-beast.com/v1/modpacks/public/modpack/33/35,
33,58,ftb-sky-adventures,1.4.1,minecraft,1.12.2,forge,14.23.5.2796,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/33,https://api.feed-the-beast.com/v1/modpacks/public/modpack/33/58,
33,148,ftb-sky-adventures,1.5.0,minecraft,1.12.2,forge,14.23.5.2796,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/33,https://api.feed-the-beast.com/v1/modpacks/public/modpack/33/148,
34,36,ftb-continuum,1.6.0,minecraft,1.12.2,forge,14.23.5.2796,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/34,https://api.feed-the-beast.com/v1/modpacks/public/modpack/34/36,
34,60,ftb-continuum,1.6.1,minecraft,1.12.2,forge,14.23.5.2796,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/34,https://api.feed-the-beast.com/v1/modpacks/public/modpack/34/60,
34,149,ftb-continuum,1.7.0,minecraft,1.12.2,forge,14.23.5.2796,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/34,https://api.feed-the-beast.com/v1/modpacks/public/modpack/34/149,
35,37,ftb-revelation,3.2.0,minecraft,1.12.2,forge,14.23.5.2846,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35/37,
35,143,ftb-revelation,3.3.0,minecraft,1.12.2,forge,14.23.5.2846,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35/143,
35,174,ftb-revelation,3.4.0,minecraft,1.12.2,forge,14.23.5.2846,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35/174,
35,2059,ftb-revelation,3.5.0,minecraft,1.12.2,forge,14.23.5.2855,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35/2059,
35,2129,ftb-revelation,3.6.0,minecraft,1.12.2,forge,14.23.5.2858,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35/2129,
35,12180,ftb-revelation,3.7.0,minecraft,1.12.2,forge,14.23.5.2858,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35,https://api.feed-the-beast.com/v1/modpacks/public/modpack/35/12180,
36,38,ftb-ultimate-reloaded,1.9.0,minecraft,1.12.2,forge,14.23.5.2846,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/36,https://api.feed-the-beast.com/v1/modpacks/public/modpack/36/38,
36,147,ftb-ultimate-reloaded,1.10.0,minecraft,1.12.2,forge,14.23.5.2846,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/36,https://api.feed-the-beast.com/v1/modpacks/public/modpack/36/147,
36,2052,ftb-ultimate-reloaded,1.11.0,minecraft,1.12.2,forge,14.23.5.2855,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/36,https://api.feed-the-beast.com/v1/modpacks/public/modpack/36/2052,
37,103,ftb-builders-paradise,1.7.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/37,https://api.feed-the-beast.com/v1/modpacks/public/modpack/37/103,
37,146,ftb-builders-paradise,1.8.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/37,https://api.feed-the-beast.com/v1/modpacks/public/modpack/37/146,
37,2056,ftb-builders-paradise,1.9.0,minecraft,1.12.2,forge,14.23.5.2855,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/37,https://api.feed-the-beast.com/v1/modpacks/public/modpack/37/2056,
47,129,ftb-unstable-116,1.0.0,minecraft,1.16.3,forge,34.1.22,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/47,https://api.feed-the-beast.com/v1/modpacks/public/modpack/47/129,
47,152,ftb-unstable-116,1.1.0,minecraft,1.16.3,forge,34.1.23,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/47,https://api.feed-the-beast.com/v1/modpacks/public/modpack/47/152,
47,154,ftb-unstable-116,1.2.0,minecraft,1.16.3,forge,34.1.25,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/47,https://api.feed-the-beast.com/v1/modpacks/public/modpack/47/154,
47,155,ftb-unstable-116,1.2.1,minecraft,1.16.3,forge,34.1.25,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/47,https://api.feed-the-beast.com/v1/modpacks/public/modpack/47/155,
52,134,ftb-university-112,1.0.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52/134,
52,156,ftb-university-112,1.1.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52/156,
52,157,ftb-university-112,1.1.1,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52/157,
52,215,ftb-university-112,1.2.0,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52/215,
52,216,ftb-university-112,1.2.1,minecraft,1.12.2,forge,14.23.5.2847,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52,https://api.feed-the-beast.com/v1/modpacks/public/modpack/52/216,
54,195,ftb-pax-challenge-pack-2013,1.1.4,minecraft,1.4.7,forge,6.6.2.534,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/54,https://api.feed-the-beast.com/v1/modpacks/public/modpack/54/195,
56,187,ftb-lite,1.2.3,minecraft,1.4.7,forge,6.6.2.534,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/56,https://api.feed-the-beast.com/v1/modpacks/public/modpack/56/187,
58,205,pax-east-2014-map,1.0.1,minecraft,1.6.4,forge,9.11.1.965,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/58,https://api.feed-the-beast.com/v1/modpacks/public/modpack/58/205,
59,196,slows-stream-pack,1.0.0,minecraft,1.4.7,forge,6.6.2.534,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/59,https://api.feed-the-beast.com/v1/modpacks/public/modpack/59/196,
60,198,ftb-tech-world-2,1.1.6,minecraft,1.6.4,forge,9.11.1.965,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/60,https://api.feed-the-beast.com/v1/modpacks/public/modpack/60/198,
61,191,ftb-magic-world-2,1.1.2,minecraft,1.6.4,forge,9.11.1.965,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/61,https://api.feed-the-beast.com/v1/modpacks/public/modpack/61/191,
62,183,ftb-presents-direwolf20-164,1.0.23,minecraft,1.6.4,forge,9.11.1.965,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/62,https://api.feed-the-beast.com/v1/modpacks/public/modpack/62/183,
65,190,ftb-horizons,2.1.1,minecraft,1.6.4,forge,9.11.1.965,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/65,https://api.feed-the-beast.com/v1/modpacks/public/modpack/65/190,
66,194,ftb-monster,1.1.2,minecraft,1.6.4,forge,9.11.1.965,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/66,https://api.feed-the-beast.com/v1/modpacks/public/modpack/66/194,
70,185,direwolf20-147,5.3.2,minecraft,1.4.7,forge,6.6.2.534,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/70,https://api.feed-the-beast.com/v1/modpacks/public/modpack/70/185,
72,188,ftb-lite-2,1.1.9,minecraft,1.6.4,forge,9.11.1.965,java,8.0.312+7,https://api.feed-the-beast.com/v1/modpacks/public/modpack/72,https://api.feed-the-beast.com/v1/modpacks/public/modpack/72/188,
